"country","countrycode","year","month","cpi_sa","cpi_yoy_nsa","exchange_rate_neer","exchange_rate_reer","exchnage_rate_vs_usd","ind_prod_const","ind_prod_const_sa","time","usa_imp_sa","usa_ip_sa","chn_ip_sa","ln_ip","ln_usa_ip","ln_chn_ip","ln_usa_imports","ln_er_usd","cc"
"Singapore","SGP",2004,8,89.28471932024,1.61974343053,88.47001926872,91.00216681818,1.71422727273,3732441337.76524,3697083934.27449,535,124224,259259032046.171,109206128048.939,22.0308102199904,26.2810935225858,25.416503016347,11.7298416665287,0.538962409244079,"SGP"
"Malaysia","MYS",2004,8,85.60301033725,1.34096022856,94.887958469,93.61946090909,3.8,7877555408.24259,7773923603.60297,535,124224,259259032046.171,109206128048.939,22.7740408421611,26.2810935225858,25.416503016347,11.7298416665287,1.33500106673234,"MYS"
"Philippines","PHL",2004,8,74.19756409394,6.70634344607,91.54207277902,77.63694772727,55.84340909091,6361756283.68479,5764837864.85096,535,124224,259259032046.171,109206128048.939,22.4750428662218,26.2810935225858,25.416503016347,11.7298416665287,4.02255150764556,"PHL"
"Singapore","SGP",2004,9,89.56563123926,1.83183539877,89.307418509,91.89989431818,1.69531818182,3854286524.6743,3517211977.71126,536,124400,259483841689.489,110639431819.687,21.9809344609311,26.2819602705212,25.4295423888928,11.7312574592872,0.527870441103521,"SGP"
"Malaysia","MYS",2004,9,85.88297960436,1.58037660023,94.67230648627,93.45403363636,3.8,7725674519.90886,7650952418.7641,536,124400,259483841689.489,110639431819.687,22.7580959762203,26.2819602705212,25.4295423888928,11.7312574592872,1.33500106673234,"MYS"
"Thailand","THA",2004,9,84.11055388207,3.55659379486,86.26461090909,82.83718681818,41.45718181818,8828670942.90668,9212030248.13223,536,124400,259483841689.489,110639431819.687,22.943776102457,26.2819602705212,25.4295423888928,11.7312574592872,3.72466113118503,"THA"
"Philippines","PHL",2004,9,74.81326963192,7.19244118781,90.70752942372,77.06049772727,56.21954545455,6781674190.19863,6118602252.21754,536,124400,259483841689.489,110639431819.687,22.5345995172251,26.2819602705212,25.4295423888928,11.7312574592872,4.02926448032564,"PHL"
"Thailand","THA",2004,10,84.14377705129,3.36477964721,85.8258402381,82.10956166667,41.28952380952,9135535175.25637,9310979240.72439,537,128810,261948142612.179,112571930952.67,22.9544601043072,26.2914123921558,25.4468582405165,11.7660937293901,3.72060880700321,"THA"
"Philippines","PHL",2004,10,75.29439472445,7.66208566526,89.8623318916,76.18103690476,56.33095238095,6844661876.17571,5930494114.90566,537,128810,261948142612.179,112571930952.67,22.5033733710894,26.2914123921558,25.4468582405165,11.7660937293901,4.03124415993483,"PHL"
"Singapore","SGP",2004,10,89.43330083113,1.75121171701,89.61463466402,91.79153619048,1.67695238095,3956611615.31323,3766050068.55068,537,128810,261948142612.179,112571930952.67,22.0492925619817,26.2914123921558,25.4468582405165,11.7660937293901,0.516978087059263,"SGP"
"Malaysia","MYS",2004,10,86.49680709131,2.43559287098,93.89257633763,92.94194619048,3.8,7948433156.13166,7686826683.09607,537,128810,261948142612.179,112571930952.67,22.7627738803045,26.2914123921558,25.4468582405165,11.7660937293901,1.33500106673234,"MYS"
"Malaysia","MYS",2004,11,86.52217453806,2.22560847228,91.9689946621,91.16942954545,3.8,7310533425.13001,7464722106.38929,538,131867,262512855831.04,113841557616.991,22.7334540410409,26.2935658923733,25.4580734731449,11.7895491178653,1.33500106673234,"MYS"
"Thailand","THA",2004,11,84.25855073382,2.88517067495,86.0233325,81.95624727273,40.28872727273,9244422483.50948,9373053540.97195,538,131867,262512855831.04,113841557616.991,22.9611047649501,26.2935658923733,25.4580734731449,11.7895491178653,3.69607170954397,"THA"
"Singapore","SGP",2004,11,89.408924177,1.5852918678,89.25584352584,91.37285318182,1.65059090909,3620418364.90293,3540890553.38066,538,131867,262512855831.04,113841557616.991,21.9876441012056,26.2935658923733,25.4580734731449,11.7895491178653,0.501133350521633,"SGP"
"Philippines","PHL",2004,11,75.88767018819,8.19116447884,88.01186881198,75.03771295455,56.28636363636,6725685135.99679,5857759759.44423,538,131867,262512855831.04,113841557616.991,22.4910330738323,26.2935658923733,25.4580734731449,11.7895491178653,4.03045229686267,"PHL"
"Thailand","THA",2004,12,84.55411966771,2.94943120832,87.45674217391,83.25829869565,39.20695652174,9330212483.95133,9455910427.46731,539,130310,264415939378.604,115438900347.391,22.9699058250047,26.3007892281999,25.4720072256164,11.777671506139,3.66885419334113,"THA"
"Malaysia","MYS",2004,12,86.671516942,2.15783614297,91.04041375588,90.30111,3.8,7928182371.02049,7736022804.08402,539,130310,264415939378.604,115438900347.391,22.7691535428805,26.3007892281999,25.4720072256164,11.777671506139,1.33500106673234,"MYS"
"Singapore","SGP",2004,12,89.17908715234,1.14273677559,88.79167862604,90.60048652174,1.64091304348,4599780137.64033,4235421526.10029,539,130310,264415939378.604,115438900347.391,22.1667486940052,26.3007892281999,25.4720072256164,11.777671506139,0.495252820746593,"SGP"
"Philippines","PHL",2004,12,76.47085211852,8.63697920816,87.28263516176,74.88829086957,56.17413043478,6529723446.29032,5869144208.1314,539,130310,264415939378.604,115438900347.391,22.4929746693796,26.3007892281999,25.4720072256164,11.777671506139,4.0284563383749,"PHL"
"Singapore","SGP",2005,1,89.25686028695,0.42708251704,89.03535497894,89.92244357143,1.63852380952,3922544695.70805,3953287340.42496,540,132065,265658308460.099,117582700554.404,22.0978133078236,26.3054767653193,25.4904077574608,11.7910495046099,0.493795720341969,"SGP"
"Philippines","PHL",2005,1,76.86562142521,8.51144675596,87.99388054918,76.09705571429,55.69285714286,6102806908.00125,5999363148.2553,540,132065,265658308460.099,117582700554.404,22.5149191585836,26.3054767653193,25.4904077574608,11.7910495046099,4.01985190070035,"PHL"
"Thailand","THA",2005,1,84.73404391242,2.71549767754,88.62371738095,84.35403857143,38.74023809524,9070642739.02471,9032352377.6878,540,132065,265658308460.099,117582700554.404,22.9240786773914,26.3054767653193,25.4904077574608,11.7910495046099,3.65687880393931,"THA"
